	index	contact	distance
0	19VR002740	19VR002744	1.3062373677556247
1	19VR002740	19VR003000	1.1720415762597747
2	19VR002740	19VR003002	88.14193275339437
3	19VR002740	19VR003004	0.17384173722388846
4	19VR002740	19VR003005	4.2757786268424045
5	19VR002740	19VR003124	3.0889392698018177
6	19VR002740	19VR003216	2.720609107966196
7	19VR002740	19VR003219	2.848772716121694
8	19VR002740	19VR003231	2.448068039441466
9	19VR002740	19VR003237	3.5257265902236132
10	19VR002740	19VR003316	2.5495883482309836
11	19VR002740	19VR003317	2.8401521252807744
12	19VR002740	19VR003373	4.0263612865857255
13	19VR002740	19VR003464	251.63690694289534
14	19VR002740	19VR003468	258.4084694083253
15	19VR002740	19VR003542	4.058851281107686
16	19VR002740	19VR003675	6.312650470044904
17	19VR002740	19VR003676	251.3016099771838
18	19VR002740	19VR003677	8.193013687875748
19	19VR002740	19VR003678	234.39785407143808
20	19VR002740	19VR003752	95.63346330976192
21	19VR002740	19VR003890	257.04105610730073
22	19VR002740	19VR003891	257.7169426137903
23	19VR002740	19VR003895	7.1495254390110405
24	19VR002740	19VR003909	4.280969038742376
25	19VR002740	19VR003913	4.236768802511988
26	19VR002740	19VR003920	9.423059880194364
27	19VR002740	19VR004002	251.515628748631
28	19VR002740	19VR004328	85.09534710225832
29	19VR002740	19VR004453	25.54691929562276
30	19VR002740	19VR004454	26.569791643377275
31	19VR002740	19VR004455	71.76899057178915
32	19VR002740	19VR004458	25.23162987380098
33	19VR002740	19VR004462	3.445577752361106
34	19VR002740	19VR004469	4.2332109237738775
35	19VR002740	19VR004555	3.80333510695087
36	19VR002740	19VR004571	25.263860664744122
37	19VR002740	19VR004578	25.093098070937224
38	19VR002740	19VR004702	25.147454713688134
39	19VR002740	19VR004825	25.069042345713882
40	19VR002740	19VR005044	23.00535005371848
41	19VR002740	19VR005160	5.27883758201821
42	19VR002740	19VR005334	25.875471146112876
43	19VR002740	19VR005339	23.10670870851326
44	19VR002740	19VR005340	96.26965454371782
45	19VR002740	19VR005507	100.42064597037961
46	19VR002740	19VR005510	18.19810035738848
47	19VR002740	19VR005511	22.31674590991202
48	19VR002740	19VR005512	22.825382205835453
49	19VR002740	19VR005517	20.64810719622528
50	19VR002740	19VR005524	18.324015610898023
51	19VR002740	19VR005611	18.469493999500756
52	19VR002740	19VR005613	25.188335821740054
53	19VR002740	19VR005785	18.34408909373994
54	19VR002740	19VR005799	17.448392617248928
55	19VR002740	19VR005803	18.461390194248263
56	19VR002740	19VR005806	23.975727257440088
57	19VR002740	19VR005946	93.26727506144502
58	19VR002740	19VR005949	23.316336724694857
59	19VR002740	19VR006103	19.10230929604306
60	19VR002740	19VR006108	26.41418712505992
61	19VR002740	19VR006112	19.32633013915861
62	19VR002740	19VR006113	19.53636555326367
63	19VR002740	19VR006329	12.12616712127306
64	19VR002740	19VR006332	19.38542289169204
65	19VR002740	19VR006520	96.83348571053511
66	19VR002740	19VR006679	20.341920643103837
67	19VR002740	19VR006682	5.463217628186851
68	19VR002740	19VR006818	18.295559834847378
69	19VR002740	19VR007032	97.83799768795961
70	19VR002740	19VR007126	10.309173141978414
71	19VR002740	19VR007190	10.689052395103138
72	19VR002740	19VR007191	21.131510445261803
73	19VR002740	19VR007270	19.695208503041563
74	19VR002740	19VR007359	11.008229798902043
75	19VR002740	19VR007474	7.568889994435317
76	19VR002740	19VR007493	10.425826353970962
77	19VR002740	19VR007606	26.63712932353585
78	19VR002740	19VR007749	19.55240089246686
79	19VR002740	19VR008338	21.09583267810376
80	19VR002740	19VR008902	94.28651340391731
81	19VR002740	19VR009188	87.91445918046072
82	19VR002744	19VR002740	1.3062373677556247
83	19VR002744	19VR003000	2.38428510322255
84	19VR002744	19VR003002	87.35417628035714
85	19VR002744	19VR003004	1.3860852641866637
86	19VR002744	19VR003005	3.4695196964475623
87	19VR002744	19VR003124	2.3011827967645933
88	19VR002744	19VR003216	1.932852634928971
89	19VR002744	19VR003219	2.061016243084469
90	19VR002744	19VR003231	3.660311566404241
91	19VR002744	19VR003237	2.7379701171863884
92	19VR002744	19VR003316	1.761831875193759
93	19VR002744	19VR003317	2.052395652243549
94	19VR002744	19VR003373	3.2386048135485006
95	19VR002744	19VR003464	250.87384182788279
96	19VR002744	19VR003468	257.62071293528805
97	19VR002744	19VR003542	3.271094808070462
98	19VR002744	19VR003675	5.524893997007679
99	19VR002744	19VR003676	250.5138535041466
100	19VR002744	19VR003677	7.405257214838524
101	19VR002744	19VR003678	233.57309268368562
102	19VR002744	19VR003752	94.84570683672469
103	19VR002744	19VR003890	256.25329963426344
104	19VR002744	19VR003891	256.9538774987778
105	19VR002744	19VR003895	6.361768965973816
106	19VR002744	19VR003909	3.493212565705152
107	19VR002744	19VR003913	3.4490123294747623
108	19VR002744	19VR003920	8.635303407157139
109	19VR002744	19VR004002	250.7278722755938
110	19VR002744	19VR004328	84.3075906292211
111	19VR002744	19VR004453	24.759162822585537
112	19VR002744	19VR004454	25.78203517034005
113	19VR002744	19VR004455	70.9799693543016
114	19VR002744	19VR004458	24.443873400763756
115	19VR002744	19VR004462	2.6578212793238816
116	19VR002744	19VR004469	3.445454450736653
117	19VR002744	19VR004555	3.0155786339136452
118	19VR002744	19VR004571	24.4761041917069
119	19VR002744	19VR004578	24.3053415979
120	19VR002744	19VR004702	24.35969824065091
121	19VR002744	19VR004825	24.28128587267666
122	19VR002744	19VR005044	22.217593580681257
123	19VR002744	19VR005160	4.491081108980985
124	19VR002744	19VR005334	25.08771467307565
125	19VR002744	19VR005339	22.318952235476036
126	19VR002744	19VR005340	95.48189807068057
127	19VR002744	19VR005507	99.63288949734239
128	19VR002744	19VR005510	17.410343884351256
129	19VR002744	19VR005511	21.528989436874795
130	19VR002744	19VR005512	22.037625732798226
131	19VR002744	19VR005517	19.860350723188056
132	19VR002744	19VR005524	17.536259137860803
133	19VR002744	19VR005611	17.681737526463532
134	19VR002744	19VR005613	24.40057934870283
135	19VR002744	19VR005785	17.556332620702715
136	19VR002744	19VR005799	16.660636144211704
137	19VR002744	19VR005803	17.67363372121104
138	19VR002744	19VR005806	23.187970784402864
139	19VR002744	19VR005946	92.4795185884078
140	19VR002744	19VR005949	22.528580251657633
141	19VR002744	19VR006103	18.314552823005837
142	19VR002744	19VR006108	25.626430652022698
143	19VR002744	19VR006112	18.538573666121387
144	19VR002744	19VR006113	18.748609080226444
145	19VR002744	19VR006329	11.338410648235834
146	19VR002744	19VR006332	18.597666418654814
147	19VR002744	19VR006520	96.0457292374979
148	19VR002744	19VR006679	19.554164170066613
149	19VR002744	19VR006682	4.675461155149627
150	19VR002744	19VR006818	17.507803361810158
151	19VR002744	19VR007032	97.0502412149224
152	19VR002744	19VR007126	9.53650853245825
153	19VR002744	19VR007190	9.901295922065911
154	19VR002744	19VR007191	20.34375397222458
155	19VR002744	19VR007270	18.907452030004336
156	19VR002744	19VR007359	10.220473325864818
157	19VR002744	19VR007474	6.781133521398092
158	19VR002744	19VR007493	9.638069880933738
159	19VR002744	19VR007606	25.849372850498625
160	19VR002744	19VR007749	18.764644419429636
161	19VR002744	19VR008338	20.308076205066538
162	19VR002744	19VR008902	93.49875693088006
163	19VR002744	19VR009188	87.1267027074235
164	19VR003000	19VR002740	1.1720415762597747
165	19VR003000	19VR002744	2.38428510322255
166	19VR003000	19VR003002	89.2199804888613
167	19VR003000	19VR003004	1.2518894726908139
168	19VR003000	19VR003005	5.353826362309331
169	19VR003000	19VR003124	4.166987005268743
170	19VR003000	19VR003216	3.798656843433121
171	19VR003000	19VR003219	3.926820451588619
172	19VR003000	19VR003231	3.526115774908391
173	19VR003000	19VR003237	4.603774325690539
174	19VR003000	19VR003316	3.627636083697909
175	19VR003000	19VR003317	3.9181998607476998
176	19VR003000	19VR003373	5.104409022052651
177	19VR003000	19VR003464	252.73964603638694
178	19VR003000	19VR003468	259.48651714379224
179	19VR003000	19VR003542	5.136899016574612
180	19VR003000	19VR003675	7.390698205511829
181	19VR003000	19VR003676	252.37965771265075
182	19VR003000	19VR003677	9.271061423342672
183	19VR003000	19VR003678	235.47590180690506
184	19VR003000	19VR003752	96.71151104522885
185	19VR003000	19VR003890	258.1191038427676
186	19VR003000	19VR003891	258.8196817072819
187	19VR003000	19VR003895	8.227573174477968
188	19VR003000	19VR003909	5.359016774209302
189	19VR003000	19VR003913	5.314816537978913
190	19VR003000	19VR003920	10.501107615661288
191	19VR003000	19VR004002	252.59367648409795
192	19VR003000	19VR004328	86.17339483772525
193	19VR003000	19VR004453	26.62496703108969
194	19VR003000	19VR004454	27.6478393788442
195	19VR003000	19VR004455	72.79966098069093
196	19VR003000	19VR004458	26.309677609267904
197	19VR003000	19VR004462	4.523625487828031
198	19VR003000	19VR004469	5.311258659240803
199	19VR003000	19VR004555	4.881382842417795
200	19VR003000	19VR004571	26.341908400211047
201	19VR003000	19VR004578	26.171145806404148
202	19VR003000	19VR004702	26.22550244915506
203	19VR003000	19VR004825	26.147090081180806
204	19VR003000	19VR005044	24.083397789185405
205	19VR003000	19VR005160	6.356885317485134
206	19VR003000	19VR005334	26.953518881579804
207	19VR003000	19VR005339	24.184756443980184
208	19VR003000	19VR005340	97.34770227918474
209	19VR003000	19VR005507	101.49869370584653
210	19VR003000	19VR005510	19.276148092855404
211	19VR003000	19VR005511	23.394793645378943
212	19VR003000	19VR005512	23.903429941302377
213	19VR003000	19VR005517	21.715412744192204
214	19VR003000	19VR005524	19.402063346364955
215	19VR003000	19VR005611	19.54754173496768
216	19VR003000	19VR005613	26.26638355720698
217	19VR003000	19VR005785	19.422136829206863
218	19VR003000	19VR005799	18.526440352715852
219	19VR003000	19VR005803	19.53943792971519
220	19VR003000	19VR005806	25.053774992907012
221	19VR003000	19VR005946	94.34532279691196
222	19VR003000	19VR005949	24.39438446016178
223	19VR003000	19VR006103	20.18035703150999
224	19VR003000	19VR006108	27.49223486052684
225	19VR003000	19VR006112	20.404377874625535
226	19VR003000	19VR006113	20.614413288730596
227	19VR003000	19VR006329	13.204214856739986
228	19VR003000	19VR006332	20.463470627158966
